transaction_id,employee_id,transaction_type,transaction_date,amount,house_id,client_id
77,5,Sale,2022-08-25,19029340.22,447,2032
78,47,Sale,2023-12-10,15877468.43,129,2261
79,38,Lease,2022-08-14,4651.47,401,2760
80,30,Lease,2022-12-29,2366.72,132,1508
81,43,Lease,2022-12-02,1141.24,927,1068
82,49,Sale,2023-11-06,19651172.81,179,2146
83,9,Sale,2024-01-02,10618263.06,474,779
84,38,Sale,2022-09-08,9202750.98,488,758
85,36,Lease,2024-04-23,6974.79,293,365
86,11,Sale,2023-05-01,7587144.9,352,2090
87,38,Sale,2023-08-13,7939743.56,567,408
88,15,Sale,2023-07-31,14852943.1,761,922
89,10,Lease,2023-08-08,6710.0,353,2161
90,35,Lease,2023-03-05,2909.62,26,1055
91,1,Lease,2023-07-10,2582.6,954,616
92,38,Lease,2023-07-04,1355.5,33,2170
93,38,Sale,2024-02-11,19143418.57,144,2235
94,12,Lease,2022-08-23,6602.79,952,2094
95,22,Lease,2023-07-21,7078.35,875,213
96,11,Lease,2024-02-06,6951.0,75,1033
97,50,Sale,2022-11-24,12356887.48,483,2686
98,3,Sale,2023-07-24,19219301.58,59,2010
99,23,Lease,2024-01-25,8781.74,679,701
100,25,Lease,2024-04-02,2892.89,653,1042
101,46,Lease,2023-12-30,5328.67,217,1971
102,29,Sale,2023-02-07,9362632.59,72,850
103,47,Sale,2023-03-23,16046028.47,460,145
104,26,Sale,2022-08-29,15169951.78,973,2908
105,38,Sale,2023-01-05,13305597.68,175,244
106,46,Sale,2023-07-16,17006757.12,986,2353
107,15,Sale,2023-08-03,15560839.03,939,1371
108,8,Sale,2023-05-22,10889084.29,18,2321
109,31,Sale,2024-05-23,7589068.97,406,1817
110,36,Lease,2023-01-01,1588.8,974,740
111,42,Lease,2022-09-26,8464.39,650,2080
112,42,Sale,2023-12-04,14207112.0,461,2246
113,30,Lease,2023-11-09,2154.97,27,1539
114,33,Lease,2023-03-18,8996.76,20,1919
115,36,Sale,2024-07-27,16889999.92,279,2584
116,47,Sale,2023-08-15,17011105.1,407,1557
117,32,Sale,2022-12-03,8143615.35,97,977
118,43,Lease,2023-02-28,3605.82,220,1810
119,44,Sale,2023-06-15,16867470.31,106,2232
120,11,Lease,2023-10-12,7844.65,960,386
121,19,Sale,2024-05-07,7997689.28,123,120
122,2,Lease,2023-06-28,7856.15,983,975
123,9,Sale,2023-06-01,9252196.52,199,2646
124,41,Sale,2024-04-17,5870254.78,829,59
125,32,Lease,2022-12-12,803.64,555,59
126,2,Sale,2023-06-27,16025333.11,405,2034
127,46,Sale,2024-01-30,6217227.11,113,966
128,16,Lease,2024-06-12,2700.6,452,385
129,21,Sale,2023-10-13,19686877.08,140,2367
130,11,Lease,2024-03-04,8983.92,766,1072
131,24,Lease,2022-11-09,3348.88,728,2062
132,5,Sale,2024-06-14,14642375.34,967,2566
133,23,Sale,2024-05-04,6204098.64,277,1804
134,49,Sale,2023-10-21,9404864.28,144,770
135,7,Sale,2023-07-09,17102659.24,47,2869
136,36,Sale,2022-10-10,13850725.85,596,2800
137,26,Lease,2024-07-20,4753.82,341,1748
138,47,Lease,2024-06-01,3729.09,391,1747
139,39,Lease,2023-01-07,4200.44,735,2961
140,32,Lease,2023-03-15,8219.17,334,768
141,33,Sale,2022-12-18,17414151.35,541,2380
142,14,Sale,2022-09-26,14784769.48,488,1638
143,37,Sale,2023-12-11,14290139.1,659,1985
144,15,Lease,2022-11-25,3419.87,734,56
145,30,Lease,2024-07-29,1349.16,847,1509
146,1,Lease,2024-04-28,1486.57,304,1256
147,8,Sale,2023-01-13,7554915.48,538,686
148,39,Lease,2024-04-15,7433.86,136,2538
149,18,Lease,2024-05-05,3268.01,842,98
150,24,Sale,2023-12-24,1695225.05,756,1971
151,45,Sale,2024-03-12,16222462.43,859,500
152,45,Sale,2023-06-16,6933805.35,555,1747
153,46,Lease,2022-08-27,9922.75,875,218
154,26,Lease,2023-07-30,7348.45,282,1790
155,16,Lease,2024-02-15,2662.2,2,2000
156,4,Sale,2023-07-08,18624493.32,989,444
157,31,Sale,2023-03-02,16860455.1,433,443
158,29,Lease,2022-11-05,3859.99,573,2678
159,30,Lease,2024-04-29,2775.21,492,462
160,22,Sale,2023-07-30,18737152.7,421,2934
161,19,Sale,2024-01-20,13525311.63,704,1151
162,10,Sale,2023-02-15,15861518.0,2,389
163,39,Sale,2023-11-10,3270395.21,877,1771
164,44,Lease,2023-05-11,1444.08,595,17
165,15,Sale,2023-07-06,13907899.86,457,1116
166,25,Lease,2022-09-20,5675.6,788,677
167,28,Sale,2023-09-14,14800102.62,823,2988
168,1,Sale,2023-11-08,19295967.8,989,2320
169,16,Lease,2023-08-15,1757.55,102,1155
170,11,Sale,2023-07-06,5482610.68,907,1105
171,46,Sale,2023-10-01,11558334.1,553,208
172,6,Sale,2022-10-18,1717492.71,882,984
173,40,Sale,2024-06-09,4221388.54,983,385
174,34,Sale,2022-08-20,18451665.87,992,1962
175,6,Sale,2024-07-03,4618286.34,868,277
176,48,Lease,2023-10-04,4353.08,890,2249
177,12,Lease,2023-03-25,8116.54,725,2739
178,9,Lease,2023-07-29,6976.02,621,2396
179,17,Lease,2024-01-27,4078.86,951,1858
180,33,Lease,2022-10-24,1515.78,752,2656
181,45,Sale,2023-06-14,7470858.0,498,2859
182,45,Lease,2022-09-19,7750.55,824,1272
183,50,Sale,2023-02-24,4575275.66,337,2902
184,46,Lease,2022-12-21,1797.08,547,1355
185,23,Sale,2023-01-29,13018872.73,579,10
186,33,Sale,2024-04-01,7415913.7,658,1123
187,20,Lease,2024-06-24,3095.45,63,2107
188,43,Sale,2023-03-10,13849182.75,304,1604
189,34,Lease,2023-08-12,6203.64,380,2420
190,43,Sale,2022-09-09,13853986.1,798,1879
191,27,Sale,2023-10-26,4021535.93,348,1459
192,49,Lease,2023-06-17,2284.55,309,2831
193,41,Sale,2022-09-09,18078565.14,284,2896
194,45,Lease,2022-10-28,9600.79,321,1305
195,27,Sale,2023-04-27,2852252.31,680,2952
196,22,Lease,2023-04-03,9747.22,339,1435
197,40,Lease,2022-11-09,1693.79,851,1409
198,37,Lease,2023-06-12,914.12,354,102
199,29,Sale,2022-10-23,8274277.61,541,793
200,31,Lease,2022-10-20,5169.28,182,657
201,7,Lease,2024-03-29,2480.98,901,857
202,22,Lease,2023-06-01,8808.02,679,2406
203,45,Lease,2024-02-28,3306.41,739,2514
204,49,Sale,2022-12-15,9439577.93,487,564
205,42,Lease,2023-11-29,4100.03,616,793
206,36,Sale,2024-06-13,19092058.12,679,2252
207,20,Sale,2023-12-14,10902915.85,457,172
208,6,Lease,2023-07-23,7848.55,682,954
209,13,Sale,2023-03-24,11831532.13,408,390
210,35,Sale,2023-10-17,5889073.78,508,920
211,41,Lease,2022-10-19,3913.45,431,962
212,45,Lease,2024-03-01,8020.95,560,2010
213,13,Lease,2022-11-05,1525.73,595,2699
214,9,Sale,2023-07-30,1748352.23,101,580
215,40,Lease,2024-02-03,6996.41,485,595
216,12,Sale,2023-07-08,19430498.92,718,367
217,30,Lease,2023-10-19,4658.1,143,19
218,46,Lease,2023-12-18,9233.38,578,2924
219,24,Sale,2022-11-18,17758904.83,468,1268
220,10,Lease,2022-12-11,6130.6,62,256
221,50,Sale,2023-01-06,14587242.55,649,361
222,37,Lease,2024-05-01,8001.39,745,2001
223,30,Lease,2024-05-29,4936.13,774,1471
224,24,Sale,2023-08-13,16114905.05,897,2565
225,8,Sale,2022-12-01,2142966.61,628,1983
226,6,Sale,2023-04-26,16569326.13,153,1527
227,21,Lease,2023-08-25,6865.48,247,1054
228,41,Lease,2024-06-22,1790.37,334,2988
229,3,Sale,2024-04-06,5444161.49,268,1215
230,36,Lease,2023-03-12,2684.14,654,1075
231,18,Sale,2024-04-08,9726315.42,228,1921
232,19,Lease,2022-10-01,2706.79,659,2662
233,10,Sale,2023-01-26,15314223.55,688,1914
234,28,Lease,2022-10-10,5951.56,863,1629
235,49,Lease,2023-03-13,1837.2,88,543
236,39,Lease,2023-05-31,940.53,593,124
237,28,Sale,2023-10-31,1648802.72,402,2396
238,7,Sale,2023-07-25,4433335.73,225,691
239,4,Lease,2023-12-21,7622.95,809,52
240,17,Lease,2022-10-15,3639.41,280,1452
241,8,Lease,2022-08-23,8763.42,762,1309
242,44,Sale,2023-07-09,4605834.1,112,319
243,27,Sale,2022-09-14,11201302.03,459,2607
244,17,Lease,2022-08-22,1565.8,143,583
245,17,Lease,2023-04-26,1384.21,452,2449
246,6,Sale,2023-03-26,4035648.02,376,2891
247,29,Sale,2023-04-22,3162489.42,812,1261
248,12,Lease,2023-06-11,4784.14,696,2056
249,30,Lease,2022-12-07,7473.25,812,2949
250,13,Sale,2024-02-10,3810538.75,362,2911
251,8,Lease,2023-06-11,6749.69,175,752
252,12,Sale,2023-07-24,18121720.68,124,2660
253,50,Lease,2023-06-10,1814.18,261,2962
254,38,Sale,2022-10-11,18742491.92,183,2409
255,50,Sale,2023-03-04,9681606.27,277,2816
256,36,Lease,2023-09-17,9265.78,45,2940
257,3,Lease,2022-12-25,9031.79,262,2214
258,46,Lease,2024-05-29,5563.63,637,80
259,36,Sale,2023-06-28,11401595.56,54,2353
260,23,Sale,2023-08-29,8000368.94,401,2425
261,34,Sale,2023-10-12,2671266.06,572,1557
262,43,Lease,2024-02-14,6497.22,376,794
263,23,Sale,2022-08-20,14570306.43,229,824
264,45,Lease,2023-08-30,1541.4,997,1164
265,42,Sale,2023-02-18,2447285.12,643,218
266,29,Sale,2024-05-10,7480580.09,765,2670
267,12,Sale,2023-02-20,1281027.28,293,1775
268,50,Sale,2023-09-12,12112941.31,772,1745
269,28,Sale,2023-04-28,4079490.87,535,119
270,40,Sale,2024-06-24,1726763.28,575,963
271,17,Sale,2024-04-21,1797746.32,978,383
272,22,Lease,2024-04-13,2646.19,726,1025
273,11,Sale,2024-05-24,7833051.57,578,224
274,30,Sale,2024-03-12,7097108.81,737,714
275,20,Sale,2024-07-12,4818427.66,849,2248
276,47,Sale,2022-12-06,18397806.06,832,784
277,23,Lease,2023-03-17,5395.57,308,798
278,28,Sale,2023-04-12,14592306.04,392,685
279,44,Lease,2024-04-10,1304.85,257,2674
280,45,Sale,2023-02-22,2289513.01,985,1153
281,26,Sale,2023-03-14,19651567.33,987,1137
282,2,Lease,2024-05-06,9618.45,862,1061
283,31,Sale,2024-05-27,10414582.32,625,378
284,22,Lease,2023-10-10,1154.8,639,1864
285,27,Sale,2022-12-21,9603868.06,479,305
286,19,Sale,2023-03-29,12462395.09,484,388
287,45,Sale,2023-12-27,4292540.59,739,2785
288,7,Sale,2023-10-24,12893486.21,805,714
289,19,Lease,2022-08-19,9800.02,443,216
290,15,Lease,2023-01-05,9715.13,443,149
291,12,Sale,2022-09-28,18660224.41,913,370
292,4,Sale,2023-09-29,5720326.75,174,794
293,36,Sale,2022-11-04,6948480.21,507,693
294,35,Lease,2023-10-12,7211.49,224,325
295,4,Lease,2022-12-05,1386.32,370,2764
296,38,Lease,2023-09-01,6501.28,630,2179
297,7,Sale,2024-07-03,12958069.1,886,476
298,33,Lease,2023-09-24,1223.16,265,1840
299,34,Lease,2024-04-02,6782.53,958,1719
300,38,Lease,2022-11-24,1979.89,960,953
301,44,Sale,2022-11-09,19853779.85,313,1342
302,12,Lease,2023-04-08,9742.98,881,2496
303,22,Lease,2023-05-18,4708.59,874,2391
304,50,Sale,2023-02-02,6259224.21,528,2360
305,3,Sale,2022-11-03,19165228.72,706,2760
306,33,Lease,2023-09-10,2993.07,419,1249
307,9,Lease,2023-11-24,1787.9,738,616
308,18,Lease,2024-01-15,7759.0,542,1589
309,12,Lease,2023-11-14,1943.43,744,2569
310,45,Sale,2024-03-19,14159815.22,917,142
311,4,Sale,2023-08-09,16068564.75,66,1604
312,26,Sale,2023-10-07,12153208.77,314,1210
313,26,Lease,2022-08-05,8977.18,468,2313
314,4,Sale,2023-04-01,16505899.76,633,1266
315,6,Sale,2023-11-16,19750168.57,520,1549
316,41,Lease,2022-10-22,7207.34,883,318
317,47,Sale,2023-08-11,16545632.13,115,2452
318,5,Lease,2023-01-25,6027.1,285,1935
319,38,Lease,2023-01-19,6304.08,677,1224
320,36,Lease,2024-05-22,7672.48,352,2788
321,43,Lease,2022-12-18,1613.46,852,2871
322,29,Lease,2023-10-05,1802.34,28,267
323,44,Sale,2023-11-15,18754979.75,592,1454
324,28,Lease,2023-05-16,7116.18,143,1006
325,45,Sale,2024-07-07,19987674.11,550,997
326,30,Lease,2023-03-29,3917.09,637,2971
327,25,Sale,2023-04-30,11650850.52,388,2849
328,2,Lease,2023-08-07,9052.72,619,1255
329,33,Lease,2022-09-06,1363.92,704,577
330,3,Lease,2023-12-16,5014.94,773,2485
331,48,Sale,2022-12-25,9723730.11,982,1395
332,16,Sale,2023-02-17,3812753.3,574,355
333,33,Lease,2023-04-26,3867.21,592,1149
334,23,Sale,2023-02-09,19904741.26,380,1095
335,49,Sale,2023-11-14,2328557.16,155,2360
336,34,Lease,2024-06-17,1726.84,922,917
337,22,Sale,2023-02-18,3755040.33,577,1321
338,17,Sale,2023-09-21,6409129.8,157,1918
339,27,Sale,2023-06-23,13853281.23,88,701
340,18,Sale,2023-05-27,9044157.6,374,2965
341,42,Lease,2022-08-13,4339.91,465,62
342,48,Sale,2023-01-18,3357826.75,324,985
343,32,Lease,2022-11-13,6250.56,347,1339
344,45,Sale,2023-08-28,10372039.25,596,276
345,47,Sale,2023-07-18,15462559.65,748,2612
346,9,Lease,2024-02-05,4841.89,328,2969
347,38,Sale,2024-01-02,14935189.83,1,2672
348,24,Sale,2024-04-28,17081921.43,747,2187
349,2,Lease,2024-03-23,5182.37,995,2732
350,11,Lease,2022-10-02,4692.58,451,1464
351,8,Sale,2024-06-07,15860133.81,119,2492
352,3,Lease,2024-01-10,7535.36,356,1669
353,6,Sale,2023-05-09,13596989.78,399,1439
354,12,Lease,2023-05-16,8281.95,14,226
355,35,Lease,2024-07-09,4849.54,992,461
356,18,Lease,2023-08-30,2952.89,595,2671
357,7,Sale,2024-04-08,4932896.74,745,2303
358,34,Lease,2024-06-07,6339.94,162,157
359,37,Sale,2024-03-24,14180269.14,992,113
360,24,Sale,2023-09-21,8769949.97,590,875
361,24,Lease,2024-05-10,8395.9,426,583
362,21,Lease,2022-10-02,9393.58,491,1000
363,19,Lease,2024-06-01,3919.49,721,1841
364,20,Sale,2022-12-24,18418055.89,406,2018
365,49,Sale,2023-02-26,9906551.87,809,1743
366,23,Lease,2023-10-23,939.32,948,2506
367,17,Lease,2023-11-15,2388.21,119,185
368,47,Lease,2023-10-16,3690.6,153,2288
369,28,Lease,2023-09-28,1226.31,359,585
370,29,Sale,2022-12-19,17622511.88,759,1815
371,37,Sale,2024-06-22,8258644.28,650,1024
372,1,Lease,2023-02-01,6276.28,539,2423
373,35,Sale,2023-01-25,6933076.48,861,907
374,25,Sale,2024-01-07,11536508.96,434,1104
375,7,Lease,2023-02-21,8751.28,320,826
376,27,Sale,2022-12-05,13863214.1,843,2737
377,15,Sale,2024-04-10,7958975.52,15,2908
378,36,Sale,2023-11-07,13625570.71,752,1895
379,31,Lease,2023-01-24,9672.1,800,1880
380,32,Lease,2024-01-28,5294.23,389,2815
381,46,Sale,2023-12-28,13573854.25,113,2525
382,49,Sale,2024-04-16,2224692.16,492,1445
383,37,Sale,2022-12-30,4795774.01,354,329
384,2,Lease,2023-01-11,7515.51,87,2247
385,7,Sale,2023-02-26,12681220.55,738,1553
386,49,Sale,2022-10-12,7050688.02,342,1513
387,45,Sale,2022-12-31,17542606.79,967,1600
388,14,Sale,2023-01-27,17553050.08,266,134
389,42,Sale,2023-05-23,7242986.82,278,479
390,24,Lease,2022-12-22,6985.88,52,1210
391,39,Lease,2022-10-07,2215.46,915,2733
392,20,Sale,2022-12-12,18764749.42,613,2599
393,37,Sale,2024-01-30,13035186.41,458,518
394,45,Sale,2023-11-10,17388983.46,48,293
395,14,Lease,2023-11-13,9762.71,981,2390
396,28,Sale,2022-08-11,1309754.65,465,2007
397,24,Lease,2023-07-24,7148.01,486,1300
398,38,Lease,2024-08-03,2743.53,892,2244
399,2,Sale,2022-10-11,9570961.55,348,1413
400,49,Sale,2023-09-20,6959750.41,224,1968
401,16,Sale,2023-09-20,13537016.9,964,773
402,45,Lease,2023-10-01,3304.47,777,1511
403,26,Sale,2023-09-15,11460618.11,895,2847
404,33,Lease,2024-01-30,4972.33,186,419
405,12,Lease,2023-12-18,1399.25,827,2359
406,12,Lease,2023-08-28,6518.95,903,433
407,32,Sale,2024-07-12,15922194.76,26,2979
408,16,Lease,2022-09-11,1036.93,28,1607
409,40,Sale,2024-05-07,10766593.31,984,15
410,48,Sale,2023-06-12,15628229.74,248,697
411,12,Lease,2022-08-15,1825.42,229,2397
412,42,Sale,2024-04-26,13991096.81,439,101
413,29,Lease,2023-04-09,8889.56,573,158
414,46,Lease,2022-12-23,1104.39,647,1437
415,32,Sale,2024-02-18,15109576.84,226,1400
416,5,Lease,2023-09-03,2880.63,19,2742
417,18,Lease,2023-01-28,5902.99,728,2133
418,20,Lease,2023-06-11,1027.71,676,2803
419,43,Lease,2023-12-30,1799.73,941,2829
420,11,Lease,2022-10-28,7033.85,842,2623
421,31,Lease,2023-09-03,2167.96,431,1652
422,8,Lease,2022-09-24,7181.98,912,460
423,20,Sale,2023-09-22,11947095.21,684,7
424,25,Lease,2023-06-26,9586.51,347,980
425,42,Sale,2023-09-05,19029899.15,73,1017
426,49,Lease,2023-06-11,9608.64,183,1715
427,26,Sale,2023-03-04,15119975.47,209,600
428,17,Sale,2023-06-20,19884789.01,191,2436
429,1,Sale,2024-04-16,11179758.75,738,1968
430,30,Lease,2023-05-13,5408.13,29,2552
431,35,Lease,2022-10-17,6086.79,647,795
432,14,Sale,2023-05-08,18384941.02,408,2967
433,35,Lease,2023-03-25,955.46,979,423
434,44,Sale,2024-04-11,6649555.67,831,2684
435,43,Lease,2022-08-15,4654.55,877,634
436,17,Sale,2022-09-22,6924220.65,66,1889
437,7,Sale,2023-05-01,1354906.23,25,941
438,10,Lease,2024-04-27,1686.11,96,1549
439,21,Lease,2022-12-22,5166.29,7,1267
440,33,Sale,2024-06-17,2129211.68,759,241
441,41,Sale,2022-09-16,12799541.05,470,1569
442,46,Sale,2023-04-08,9992712.75,85,1177
443,10,Sale,2022-10-22,5528887.26,868,847
444,12,Lease,2023-02-09,1170.11,299,2864
445,6,Lease,2023-02-13,8748.63,769,1937
446,48,Sale,2022-10-01,17191892.7,248,2074
447,21,Lease,2024-06-28,7764.21,618,2728
448,48,Lease,2022-12-30,2499.36,370,1379
449,24,Lease,2023-02-12,8650.97,493,1355
450,38,Lease,2023-05-12,7190.38,268,1179
451,46,Sale,2022-08-30,17211110.17,78,332
452,16,Sale,2023-04-07,6238339.32,623,250
453,38,Sale,2023-04-12,14277422.87,234,2223
454,45,Lease,2023-01-06,3266.84,929,760
455,2,Lease,2023-02-16,7055.51,91,1293
456,11,Sale,2024-02-20,3744823.92,683,1878
457,11,Sale,2023-07-22,12154678.01,472,650
458,20,Lease,2024-04-03,1340.15,22,338
459,50,Sale,2024-07-13,16878834.65,390,410
460,14,Lease,2022-09-01,3190.56,588,247
461,19,Sale,2022-10-12,4793426.08,624,2295
462,41,Sale,2022-08-04,8699022.82,250,1208
463,1,Lease,2024-05-19,6930.02,438,1255
464,6,Lease,2022-08-25,7139.68,231,2912
465,32,Lease,2024-04-01,7889.08,245,1501
466,13,Lease,2024-01-24,1429.41,873,503
467,14,Lease,2023-07-30,3507.62,955,2674
468,17,Lease,2024-01-02,1069.7,227,1082
469,46,Sale,2024-01-11,3812617.77,684,923
470,7,Lease,2023-04-17,6084.2,945,961
471,26,Lease,2023-09-17,7935.63,582,1849
472,37,Sale,2024-03-29,15505120.28,51,1761
473,47,Lease,2024-06-23,8317.2,423,2876
474,21,Sale,2024-05-27,11646965.68,987,527
475,23,Lease,2023-02-08,9574.57,273,502
476,21,Sale,2023-10-24,9567964.99,552,2373
477,47,Lease,2024-05-01,9163.01,850,473
478,21,Sale,2024-05-16,18608793.16,314,750
479,31,Lease,2023-06-07,3079.32,709,1109
480,28,Lease,2024-06-07,2113.57,780,1033
481,15,Lease,2023-02-02,8737.12,938,3
482,31,Lease,2023-02-14,8436.42,579,2129
483,24,Sale,2023-02-09,1187186.62,593,2439
484,16,Sale,2022-09-20,19467404.48,164,787
485,11,Lease,2022-08-16,3176.28,840,2002
486,46,Lease,2023-12-15,4678.15,326,2861
487,45,Sale,2024-06-13,16712372.58,817,2053
488,43,Sale,2023-08-17,4852936.5,849,1342
489,45,Sale,2023-05-07,14804626.91,977,889
490,33,Sale,2024-05-14,11086552.23,267,2113
491,17,Sale,2024-04-23,2476860.55,490,1285
492,8,Lease,2024-01-08,3396.7,155,817
493,50,Lease,2023-01-17,7905.51,191,1477
494,2,Lease,2024-04-16,2346.94,636,815
495,23,Lease,2024-03-15,3254.57,846,36
496,5,Sale,2023-03-14,9727387.65,674,1579
497,7,Sale,2023-11-29,11424865.75,248,567
498,18,Lease,2023-08-08,1760.35,415,1289
499,7,Sale,2023-08-15,13256181.97,160,1930
500,44,Lease,2023-08-17,8671.79,537,1082
501,39,Sale,2024-07-14,10203379.66,565,1291
502,19,Sale,2023-10-24,5037445.75,868,1996
503,5,Lease,2023-07-24,9313.32,506,1101
504,4,Sale,2023-11-12,2649192.6,9,2611
505,25,Sale,2024-04-29,13924410.28,249,2789
506,21,Lease,2023-02-08,1686.24,503,2836
507,40,Sale,2023-06-19,11538740.19,542,997
508,49,Sale,2024-04-16,18799853.87,652,1804
509,49,Sale,2022-08-24,19688918.9,859,1120
510,18,Lease,2023-03-02,8357.34,52,2406
511,21,Lease,2023-01-06,4201.95,906,1371
512,25,Lease,2023-01-23,9673.37,928,1119
513,13,Lease,2022-09-27,9129.7,936,1522
514,16,Sale,2024-07-23,1197211.98,6,2866
515,18,Lease,2023-12-31,1530.31,545,1172
516,27,Sale,2024-04-01,19215666.25,719,142
517,23,Sale,2023-07-02,17052420.27,891,1377
518,9,Lease,2024-02-28,4883.07,589,1891
519,4,Sale,2023-02-15,2495967.28,6,460
520,32,Sale,2024-05-29,15493474.52,479,1744
521,28,Sale,2023-07-27,7556932.88,944,590
522,9,Sale,2022-12-28,18797680.67,187,346
523,17,Sale,2023-04-22,19866250.37,897,1572
524,17,Sale,2022-12-23,1384675.99,858,664
525,33,Sale,2024-03-30,8279447.76,891,583
526,9,Sale,2024-02-22,8313435.6,819,232
527,44,Sale,2023-03-06,6937274.91,283,1302
528,44,Lease,2022-12-25,1125.4,13,2669
529,4,Lease,2023-12-22,9951.17,26,627
530,13,Sale,2023-09-19,18622103.18,887,1384
531,28,Sale,2024-07-10,5529506.22,339,2689
532,26,Lease,2023-11-26,4105.99,299,2511
533,11,Sale,2023-10-26,1984764.87,382,891
534,24,Sale,2024-05-16,16017493.41,651,2856
535,41,Sale,2024-05-09,13061551.7,301,555
536,44,Sale,2022-11-14,2775774.41,993,2401
537,19,Lease,2024-01-04,4448.75,736,2994
538,43,Sale,2024-02-13,3544774.96,210,86
539,10,Sale,2024-06-24,12245435.88,927,2010
540,23,Lease,2023-04-03,9405.92,108,1361
541,33,Lease,2023-04-06,6871.56,88,1199
542,28,Sale,2023-12-17,3304758.3,848,1780
543,28,Sale,2023-07-12,3286289.08,332,229
544,25,Lease,2023-03-08,9878.0,138,2067
545,44,Sale,2023-11-04,14689632.44,497,1711
546,8,Sale,2022-09-30,3730003.44,854,1759
547,29,Lease,2023-08-17,7381.69,291,1385
548,29,Sale,2023-12-30,17477797.79,923,306
549,27,Sale,2023-01-29,1512460.0,853,2270
550,2,Lease,2023-08-31,3345.1,674,641
551,43,Sale,2024-07-28,16165579.84,380,323
552,29,Lease,2024-01-21,8667.11,82,1312
553,40,Lease,2023-08-02,5929.05,808,1982
