profit_id,transaction_id,net_profit,profit_date
4969,4969,287.200000000001,2/23/2023
503,503,290.000000000001,7/24/2023
3992,3992,292.800000000001,3/4/2024
1835,1835,295.600000000001,11/28/2022
3039,3039,298.400000000001,6/23/2023
3327,3327,301.200000000001,8/28/2023
3266,3266,304.000000000001,9/7/2023
3710,3710,306.800000000001,7/2/2023
4423,4423,309.600000000001,6/30/2024
1023,1023,312.400000000001,3/22/2023
2450,2450,315.200000000001,10/13/2022
4592,4592,318.000000000001,7/8/2024
3214,3214,320.800000000001,9/15/2023
3104,3104,323.600000000001,12/26/2022
4345,4345,326.400000000001,10/20/2022
1526,1526,329.200000000001,1/11/2023
2100,2100,332.000000000001,1/14/2023
234,234,334.800000000001,10/10/2022
4618,4618,337.600000000001,4/12/2024
1250,1250,340.400000000001,4/7/2024
2127,2127,343.200000000001,1/13/2024
2706,2706,346.000000000001,1/12/2023
4847,4847,348.800000000001,5/24/2023
4661,4661,351.600000000001,7/14/2024
74,74,354.400000000001,1/17/2024
2510,2510,357.200000000001,8/25/2023
2810,2810,360.000000000001,10/24/2023
1761,1761,362.800000000001,10/28/2023
1946,1946,365.600000000001,8/4/2022
651,651,368.400000000001,7/8/2024
2646,2646,371.200000000001,3/6/2023
2163,2163,374.000000000001,5/1/2023
4064,4064,376.800000000001,4/12/2023
1508,1508,379.600000000001,6/6/2023
1915,1915,382.400000000001,8/17/2023
1546,1546,385.200000000001,2/4/2024
1951,1951,388.000000000001,8/6/2023
3318,3318,390.800000000001,7/1/2024
1982,1982,393.600000000001,3/12/2023
1586,1586,396.400000000001,7/30/2023
3059,3059,399.200000000001,12/19/2022
1803,1803,402.000000000001,6/5/2023
139,139,404.800000000001,1/7/2023
926,926,407.600000000001,8/25/2022
1993,1993,410.400000000001,7/10/2024
3905,3905,413.200000000001,10/9/2022
3535,3535,416.000000000001,9/6/2023
100,100,418.800000000001,4/2/2024
3662,3662,421.600000000001,1/27/2023
3093,3093,424.400000000001,6/3/2024
1394,1394,427.200000000001,6/19/2024
2413,2413,430.000000000001,1/18/2023
2622,2622,432.800000000001,9/15/2023
4087,4087,435.600000000001,11/14/2022
4910,4910,438.400000000001,11/2/2022
3842,3842,441.200000000001,2/2/2024
1068,1068,444.000000000001,1/16/2024
1831,1831,446.800000000001,8/25/2023
4841,4841,449.600000000001,3/5/2024
362,362,452.400000000001,10/2/2022
2458,2458,455.200000000001,1/9/2023
3408,3408,458.000000000001,2/5/2024
2387,2387,460.800000000001,2/25/2024
958,958,463.600000000001,8/23/2022
3500,3500,466.400000000001,12/5/2022
616,616,469.200000000001,6/2/2024
1042,1042,472.000000000001,3/16/2024
4810,4810,474.800000000001,8/24/2022
3550,3550,477.600000000001,3/20/2024
2315,2315,480.400000000001,10/5/2022
3887,3887,483.200000000001,6/6/2023
552,552,486.000000000001,1/21/2024
3351,3351,488.800000000001,12/10/2023
1983,1983,491.600000000001,10/20/2022
2176,2176,494.400000000001,6/1/2023
2716,2716,497.200000000001,5/21/2023
1846,1846,500.000000000001,2/16/2024
2082,2082,502.800000000001,4/27/2023
2384,2384,505.600000000001,4/27/2024
2345,2345,508.400000000001,9/6/2023
2240,2240,511.200000000001,6/29/2024
3060,3060,514.000000000002,5/3/2024
4648,4648,516.800000000001,6/26/2024
961,961,519.600000000001,3/21/2023
3001,3001,522.400000000001,12/17/2023
2281,2281,525.200000000001,2/27/2024
3523,3523,528.000000000001,8/7/2023
2489,2489,530.800000000001,10/14/2023
3547,3547,533.600000000001,10/1/2023
2608,2608,536.400000000001,3/12/2023
4480,4480,539.200000000001,10/12/2022
1816,1816,542.000000000001,3/20/2024
1448,1448,544.800000000001,4/23/2024
3357,3357,547.600000000001,4/20/2024
774,774,550.400000000001,7/6/2023
3194,3194,553.200000000001,1/14/2024
4507,4507,556.000000000001,10/6/2023
1997,1997,558.800000000001,10/2/2022
2720,2720,561.600000000001,2/1/2023
887,887,564.400000000001,6/12/2023
2941,2941,567.200000000001,11/16/2022
422,422,570.000000000001,9/24/2022
4803,4803,572.800000000001,10/9/2022
692,692,575.600000000001,1/28/2023
835,835,578.4,9/21/2022
1204,1204,581.2,1/21/2023
241,241,584,8/23/2022
4219,4219,586.8,4/21/2024
1138,1138,589.6,6/23/2023
1702,1702,592.4,11/20/2022
4628,4628,595.2,10/30/2022
42,42,598,3/27/2023
3977,3977,600.8,7/1/2023
2728,2728,603.6,1/3/2023
2416,2416,606.4,12/17/2023
411,411,609.2,8/15/2022
4798,4798,612,10/22/2023
2321,2321,614.8,1/13/2024
391,391,617.6,10/7/2022
3197,3197,620.4,5/29/2023
2788,2788,623.2,3/3/2023
239,239,626,12/21/2023
684,684,628.8,11/28/2022
4633,4633,631.6,5/15/2023
2112,2112,634.4,5/24/2024
3336,3336,637.2,11/13/2022
2204,2204,639.999999999999,5/1/2023
1437,1437,642.799999999999,9/14/2022
1059,1059,645.599999999999,6/16/2023
2113,2113,648.399999999999,5/6/2024
2460,2460,651.199999999999,1/31/2023
2973,2973,653.999999999999,10/19/2022
2376,2376,656.799999999999,1/6/2024
674,674,659.599999999999,10/3/2023
2024,2024,662.399999999999,8/8/2022
1859,1859,665.199999999999,6/9/2024
766,766,667.999999999999,1/5/2023
2064,2064,670.799999999999,12/5/2022
4671,4671,673.599999999999,1/11/2023
1516,1516,676.399999999999,10/19/2022
308,308,679.199999999999,1/15/2024
194,194,681.999999999999,10/28/2022
1782,1782,684.799999999999,2/22/2024
624,624,687.599999999999,1/17/2024
2396,2396,690.399999999999,3/14/2023
3261,3261,693.199999999999,9/13/2023
1484,1484,695.999999999999,4/17/2024
1564,1564,698.799999999999,11/21/2023
4040,4040,701.599999999998,9/25/2023
1097,1097,704.399999999998,12/15/2023
1958,1958,707.199999999998,12/14/2023
3471,3471,709.999999999998,4/19/2024
1478,1478,712.799999999998,3/21/2023
2195,2195,715.599999999998,7/19/2023
2030,2030,718.399999999998,8/23/2023
3510,3510,721.199999999998,6/20/2024
973,973,723.999999999998,8/31/2023
4758,4758,726.799999999998,2/22/2023
494,494,729.599999999998,4/16/2024
4349,4349,732.399999999998,4/2/2023
4606,4606,735.199999999998,1/1/2023
4508,4508,737.999999999998,1/11/2023
3620,3620,740.799999999998,12/17/2022
3225,3225,743.599999999998,8/13/2022
3294,3294,746.399999999998,5/9/2024
3911,3911,749.199999999998,2/23/2023
2144,2144,751.999999999998,6/17/2023
1325,1325,754.799999999998,5/8/2024
1658,1658,757.599999999998,6/21/2024
2656,2656,760.399999999998,11/11/2022
2123,2123,763.199999999997,1/23/2024
4498,4498,765.999999999997,10/28/2023
4124,4124,768.799999999997,1/25/2024
3888,3888,771.599999999997,6/22/2024
2940,2940,774.399999999997,11/23/2023
4896,4896,777.199999999997,10/17/2023
851,851,779.999999999997,6/18/2024
179,179,782.799999999997,1/27/2024
3042,3042,785.599999999997,8/22/2023
2404,2404,788.399999999997,1/27/2023
4673,4673,791.199999999997,4/26/2023
3786,3786,793.999999999997,11/24/2022
2652,2652,796.799999999997,11/6/2023
2434,2434,799.599999999997,8/9/2023
1013,1013,802.399999999997,5/25/2024
3738,3738,805.199999999997,2/14/2024
3187,3187,807.999999999997,8/7/2022
3196,3196,810.799999999997,9/27/2023
3077,3077,813.599999999997,9/10/2022
4188,4188,816.399999999997,5/30/2024
743,743,819.199999999997,2/29/2024
2612,2612,821.999999999997,2/4/2023
1933,1933,824.799999999996,8/2/2024
2367,2367,827.599999999996,3/2/2023
1453,1453,830.399999999996,8/4/2022
433,433,833.199999999996,3/25/2023
3741,3741,835.999999999996,1/10/2024
2266,2266,838.799999999996,3/29/2023
1496,1496,841.599999999996,6/13/2023
4643,4643,844.399999999996,2/6/2024
4425,4425,847.199999999996,3/8/2024
2189,2189,849.999999999996,7/27/2023
888,888,852.799999999996,9/5/2023
4288,4288,855.599999999996,4/20/2023
987,987,858.399999999996,2/14/2023
4639,4639,861.199999999996,12/17/2023
2199,2199,863.999999999996,4/7/2024
4851,4851,866.799999999996,4/15/2024
656,656,869.599999999996,12/16/2023
3713,3713,872.399999999996,1/18/2023
1977,1977,875.199999999996,11/10/2022
3417,3417,877.999999999996,4/27/2023
1133,1133,880.799999999996,4/25/2023
3030,3030,883.599999999996,10/26/2022
776,776,886.399999999995,5/10/2024
4475,4475,889.199999999995,7/15/2023
2390,2390,891.999999999995,12/18/2022
3687,3687,894.799999999995,2/28/2023
1044,1044,897.599999999995,8/19/2023
1948,1948,900.399999999995,11/2/2023
904,904,903.199999999995,3/30/2024
923,923,905.999999999995,4/30/2023
3499,3499,908.799999999995,4/9/2023
919,919,911.599999999995,4/6/2023
920,920,914.399999999995,2/4/2023
1152,1152,917.199999999995,3/11/2024
4428,4428,919.999999999995,2/18/2023
1862,1862,922.799999999995,1/1/2024
4706,4706,925.599999999995,4/15/2023
1974,1974,928.399999999995,10/28/2022
799,799,931.199999999995,12/12/2023
3131,3131,933.999999999995,2/16/2023
3413,3413,936.799999999995,9/26/2023
1248,1248,939.599999999995,11/24/2022
1678,1678,942.399999999995,10/2/2022
3629,3629,945.199999999995,3/28/2023
4315,4315,947.999999999994,11/23/2022
4832,4832,950.799999999994,11/16/2022
155,155,953.599999999994,2/15/2024
715,715,956.399999999994,5/17/2023
55,55,959.199999999994,6/14/2024
3073,3073,961.999999999994,11/24/2022
1647,1647,964.799999999994,11/26/2023
4605,4605,967.599999999994,7/23/2023
1684,1684,970.399999999994,1/16/2024
1792,1792,973.199999999994,7/30/2023
2674,2674,975.999999999994,12/20/2022
3583,3583,978.799999999994,1/9/2023
316,316,981.599999999994,10/22/2022
932,932,984.399999999994,10/1/2022
1298,1298,987.199999999994,8/15/2022
880,880,989.999999999994,11/2/2023
3654,3654,992.799999999994,12/19/2022
967,967,995.599999999994,9/9/2022
164,164,998.399999999994,5/11/2023
1159,1159,1001.19999999999,6/6/2023
2277,2277,1003.99999999999,9/21/2023
3711,3711,1006.79999999999,8/22/2022
1736,1736,1009.59999999999,2/1/2023
3290,3290,1012.39999999999,3/8/2023
2230,2230,1015.19999999999,6/25/2024
512,512,1017.99999999999,1/23/2023
4072,4072,1020.79999999999,2/1/2024
1140,1140,1023.59999999999,7/10/2024
2633,2633,1026.39999999999,3/10/2024
992,992,1029.19999999999,2/21/2024
4596,4596,1031.99999999999,8/10/2022
2020,2020,1034.79999999999,5/4/2024
1272,1272,1037.59999999999,3/3/2024
849,849,1040.39999999999,12/7/2022
574,574,1043.19999999999,10/29/2023
2483,2483,1045.99999999999,1/4/2024
3090,3090,1048.79999999999,12/17/2023
4575,4575,1051.59999999999,9/24/2022
515,515,1054.39999999999,12/31/2023
2015,2015,1057.19999999999,3/27/2023
2297,2297,1059.99999999999,11/11/2022
3727,3727,1062.79999999999,7/18/2023
2441,2441,1065.59999999999,8/5/2023
4456,4456,1068.39999999999,4/29/2024
63,63,1071.19999999999,7/19/2024
4414,4414,1073.99999999999,10/13/2023
3416,3416,1076.79999999999,10/4/2022
706,706,1079.59999999999,5/22/2024
4450,4450,1082.39999999999,12/2/2023
4852,4852,1085.19999999999,8/16/2023
709,709,1087.99999999999,12/19/2023
202,202,1090.79999999999,6/1/2023
4613,4613,1093.59999999999,4/14/2024
4620,4620,1096.39999999999,5/2/2023
4644,4644,1099.19999999999,4/26/2024
354,354,1101.99999999999,5/16/2023
1028,1028,1104.79999999999,6/19/2024
3046,3046,1107.59999999999,2/12/2023
2643,2643,1110.39999999999,9/4/2022
4452,4452,1113.19999999999,7/27/2024
4593,4593,1115.99999999999,7/2/2024
1537,1537,1118.79999999999,2/29/2024
700,700,1121.59999999999,1/1/2024
3787,3787,1124.39999999999,2/22/2024
1840,1840,1127.19999999999,9/16/2022
1805,1805,1129.99999999999,7/14/2024
2362,2362,1132.79999999999,10/18/2022
2966,2966,1135.59999999999,5/26/2023
3668,3668,1138.39999999999,4/1/2024
720,720,1141.19999999999,5/13/2024
4323,4323,1143.99999999999,3/4/2023
1598,1598,1146.79999999999,1/4/2024
3730,3730,1149.59999999999,12/12/2023
2293,2293,1152.39999999999,9/26/2023
131,131,1155.19999999999,11/9/2022
4238,4238,1157.99999999999,5/10/2023
3789,3789,1160.79999999999,10/6/2023
89,89,1163.59999999999,8/8/2023
3695,3695,1166.39999999999,5/17/2023
2740,2740,1169.19999999999,11/16/2022
2139,2139,1171.99999999999,2/23/2023
2923,2923,1174.79999999999,7/21/2023
4237,4237,1177.59999999999,2/21/2023
4134,4134,1180.39999999999,1/19/2024
3172,3172,1183.19999999999,7/11/2023
4263,4263,1185.99999999999,1/25/2023
4730,4730,1188.79999999999,6/13/2024
4529,4529,1191.59999999999,8/28/2022
3525,3525,1194.39999999999,3/9/2024
3133,3133,1197.19999999999,4/14/2024
2099,2099,1199.99999999999,2/1/2024
4261,4261,1202.79999999999,9/2/2022
3546,3546,1205.59999999999,7/16/2023
4999,4999,1208.39999999999,7/28/2024
2835,2835,1211.19999999999,10/6/2023
1115,1115,1213.99999999999,1/18/2023
1972,1972,1216.79999999999,1/27/2024
3598,3598,1219.59999999999,2/17/2024
4252,4252,1222.39999999999,12/11/2023
977,977,1225.19999999999,10/15/2022
2456,2456,1227.99999999999,4/25/2023
2922,2922,1230.79999999999,1/13/2023
2605,2605,1233.59999999999,8/18/2023
1120,1120,1236.39999999999,2/27/2024
4797,4797,1239.19999999999,9/1/2022
2334,2334,1241.99999999999,6/11/2023
4274,4274,1244.79999999999,3/30/2024
3258,3258,1247.59999999999,11/4/2022
578,578,1250.39999999999,2/1/2023
3677,3677,1253.19999999999,12/7/2022
3895,3895,1255.99999999999,1/17/2023
4709,4709,1258.79999999999,7/16/2024
3263,3263,1261.59999999999,6/9/2024
1123,1123,1264.39999999999,7/13/2024
3665,3665,1267.19999999999,9/13/2022
4058,4058,1269.99999999999,5/18/2023
1183,1183,1272.79999999999,11/27/2023
454,454,1275.59999999999,1/6/2023
2174,2174,1278.39999999999,12/15/2022
518,518,1281.19999999999,2/28/2024
573,573,1283.99999999999,10/19/2022
547,547,1286.79999999999,8/17/2023
2284,2284,1289.59999999999,8/6/2023
3723,3723,1292.39999999999,11/14/2022
4319,4319,1295.19999999999,5/3/2023
4032,4032,1297.99999999999,9/9/2022
3755,3755,1300.79999999999,5/5/2023
3949,3949,1303.59999999999,4/20/2024
2496,2496,1306.39999999999,1/31/2024
2446,2446,1309.19999999999,8/13/2022
1836,1836,1311.99999999999,10/12/2023
1320,1320,1314.79999999999,8/25/2023
1808,1808,1317.59999999999,12/30/2023
4650,4650,1320.39999999999,1/23/2023
1574,1574,1323.19999999999,11/26/2022
4547,4547,1325.99999999999,2/3/2023
20,20,1328.79999999999,5/6/2024
1244,1244,1331.59999999999,10/25/2022
1164,1164,1334.39999999999,6/19/2024
2682,2682,1337.19999999999,8/9/2022
1206,1206,1339.99999999999,1/9/2023
406,406,1342.79999999999,8/28/2023
262,262,1345.59999999999,2/14/2024
3343,3343,1348.39999999999,9/30/2022
232,232,1351.19999999999,10/1/2022
2110,2110,1353.99999999999,1/10/2024
1008,1008,1356.79999999999,4/30/2023
2319,2319,1359.59999999999,11/3/2023
18,18,1362.39999999999,1/10/2023
2378,2378,1365.19999999999,3/23/2024
3694,3694,1367.99999999999,9/19/2022
2146,2146,1370.79999999999,3/26/2023
1296,1296,1373.59999999999,10/2/2023
1970,1970,1376.39999999999,9/14/2022
4602,4602,1379.19999999999,12/10/2022
3579,3579,1381.99999999999,6/26/2023
3569,3569,1384.79999999999,8/21/2022
593,593,1387.59999999999,10/5/2022
3822,3822,1390.39999999999,9/3/2022
3199,3199,1393.19999999999,10/3/2023
420,420,1395.99999999999,10/28/2022
4710,4710,1398.79999999999,6/18/2024
1602,1602,1401.59999999999,8/3/2023
4722,4722,1404.39999999999,2/22/2023
3463,3463,1407.19999999999,6/5/2023
1031,1031,1409.99999999999,5/19/2023
3705,3705,1412.79999999999,4/4/2023
4635,4635,1415.59999999999,2/16/2024
1480,1480,1418.39999999999,5/6/2024
1230,1230,1421.19999999999,9/24/2023
4566,4566,1423.99999999999,4/8/2023
1688,1688,1426.79999999999,9/21/2023
1861,1861,1429.59999999999,10/29/2022
2855,2855,1432.39999999999,2/24/2024
2137,2137,1435.19999999999,3/26/2023
2347,2347,1437.99999999999,2/27/2024
4890,4890,1440.79999999999,10/18/2022
1424,1424,1443.59999999999,1/29/2024
532,532,1446.39999999999,11/26/2023
245,245,1449.19999999999,4/26/2023
2527,2527,1451.99999999999,2/24/2023
2868,2868,1454.79999999999,2/27/2024
4276,4276,1457.59999999999,11/6/2022
2257,2257,1460.39999999999,2/4/2024
911,911,1463.19999999999,11/15/2023
3018,3018,1465.99999999999,1/9/2023
3106,3106,1468.79999999999,12/22/2023
1717,1717,1471.59999999999,2/8/2024
4002,4002,1474.39999999999,5/12/2023
4813,4813,1477.19999999999,12/5/2023
1594,1594,1479.99999999999,1/22/2024
1494,1494,1482.79999999999,7/10/2024
4133,4133,1485.59999999999,8/30/2023
598,598,1488.39999999999,6/15/2024
368,368,1491.19999999999,10/16/2023
1509,1509,1493.99999999999,12/4/2023
4235,4235,1496.79999999999,1/8/2023
1642,1642,1499.59999999999,8/18/2022
3365,3365,1502.39999999999,7/15/2023
3031,3031,1505.19999999999,7/14/2023
1679,1679,1507.99999999999,5/25/2024
4992,4992,1510.79999999999,9/3/2023
1255,1255,1513.59999999999,7/21/2024
2329,2329,1516.39999999999,8/14/2022
1557,1557,1519.19999999999,6/22/2023
2589,2589,1521.99999999999,8/23/2022
2439,2439,1524.79999999999,8/25/2023
1025,1025,1527.59999999999,9/22/2023
3640,3640,1530.39999999999,3/23/2024
493,493,1533.19999999999,1/17/2023
3648,3648,1535.99999999999,6/22/2024
2188,2188,1538.79999999999,7/22/2024
1879,1879,1541.59999999999,1/13/2023
2558,2558,1544.39999999998,3/23/2023
23,23,1547.19999999998,3/6/2023
2969,2969,1549.99999999998,1/15/2023
1103,1103,1552.79999999998,7/23/2023
696,696,1555.59999999998,3/25/2024
4006,4006,1558.39999999998,6/14/2024
419,419,1569.59999999998,12/30/2023
4,4,1580.79999999998,10/28/2023
486,486,1591.99999999998,12/15/2023
955,955,1603.19999999998,3/8/2024
3993,3993,1614.39999999998,10/19/2023
2133,2133,1625.59999999999,3/2/2024
4373,4373,1636.79999999999,4/11/2023
4472,4472,1647.99999999999,8/10/2022
3360,3360,1659.19999999999,5/8/2023
4392,4392,1670.39999999999,11/25/2022
2234,2234,1681.59999999999,2/2/2023
3395,3395,1692.79999999999,4/5/2023
154,154,1703.99999999999,7/30/2023
1833,1833,1715.19999999999,6/6/2024
2186,2186,1726.39999999999,9/25/2023
1596,1596,1737.59999999999,12/22/2023
3242,3242,1748.79999999999,2/20/2023
1520,1520,1759.99999999999,11/21/2022
2289,2289,1771.19999999999,1/20/2023
3682,3682,1782.39999999999,2/9/2024
3333,3333,1793.59999999999,12/15/2023
2916,2916,1804.79999999999,3/31/2023
4973,4973,1815.99999999999,3/25/2024
1415,1415,1827.19999999999,8/5/2022
4830,4830,1838.39999999999,6/15/2023
3384,3384,1849.59999999999,2/16/2023
803,803,1860.79999999999,1/15/2024
2485,2485,1871.99999999999,2/29/2024
3157,3157,1883.19999999999,4/8/2024
1260,1260,1894.39999999999,6/1/2024
2710,2710,1905.59999999999,7/24/2024
2300,2300,1916.79999999999,6/25/2023
4183,4183,1927.99999999999,4/27/2023
1567,1567,1939.19999999999,8/20/2023
4601,4601,1950.39999999999,11/3/2022
2034,2034,1961.59999999999,1/2/2023
1043,1043,1972.79999999999,2/19/2024
2931,2931,1983.99999999999,4/22/2023
3427,3427,1995.19999999999,9/6/2022
4933,4933,2006.39999999999,12/31/2022
2167,2167,2017.59999999999,10/30/2023
1172,1172,2028.79999999999,6/27/2023
588,588,2039.99999999999,2/7/2024
3809,3809,2051.19999999999,2/11/2024
1313,1313,2062.39999999999,9/9/2022
4291,4291,2073.59999999999,7/1/2024
1758,1758,2084.79999999999,6/30/2023
4477,4477,2095.99999999999,10/19/2023
1801,1801,2107.19999999999,5/29/2023
3719,3719,2118.39999999999,10/12/2022
122,122,2129.59999999999,6/28/2023
856,856,2140.79999999999,5/14/2023
4954,4954,2151.99999999999,12/17/2023
943,943,2163.19999999999,12/26/2022
2216,2216,2174.39999999998,10/24/2023
3249,3249,2185.59999999998,4/3/2023
34,34,2196.79999999998,12/17/2023
4669,4669,2207.99999999998,9/5/2023
575,575,2219.19999999998,8/26/2023
1392,1392,2230.39999999998,7/17/2023
2963,2963,2241.59999999998,9/14/2023
449,449,2252.79999999998,2/12/2023
361,361,2263.99999999998,5/10/2024
4631,4631,2275.19999999998,12/13/2022
2377,2377,2286.39999999998,5/1/2023
2866,2866,2297.59999999998,6/10/2024
3041,3041,2308.79999999998,5/4/2024
4012,4012,2319.99999999998,7/3/2024
2474,2474,2331.19999999998,6/5/2023
4746,4746,2342.39999999998,9/28/2023
894,894,2353.59999999998,12/9/2023
176,176,2364.79999999998,10/4/2023
284,284,2375.99999999998,10/10/2023
2529,2529,2387.19999999998,2/22/2023
4850,4850,2398.39999999998,5/26/2023
1078,1078,2409.59999999998,12/7/2023
3685,3685,2420.79999999998,2/6/2024
4421,4421,2431.99999999998,3/16/2024
3012,3012,2443.19999999998,7/10/2024
166,166,2454.39999999998,9/20/2022
4521,4521,2465.59999999998,6/11/2023
1427,1427,2476.79999999998,9/25/2022
96,96,2487.99999999998,2/6/2024
1882,1882,2499.19999999998,3/25/2024
295,295,2510.39999999998,12/5/2022
3464,3464,2521.59999999998,1/1/2023
3807,3807,2532.79999999998,12/11/2022
3139,3139,2543.99999999998,7/22/2023
2739,2739,2555.19999999998,11/11/2023
3611,3611,2566.39999999998,11/11/2023
1278,1278,2577.59999999998,8/22/2023
3280,3280,2588.79999999998,4/1/2023
3875,3875,2599.99999999998,5/11/2023
402,402,2611.19999999998,10/1/2023
4051,4051,2622.39999999998,3/28/2023
2359,2359,2633.59999999998,10/7/2023
424,424,2644.79999999998,6/26/2023
4000,4000,2655.99999999998,12/19/2022
4804,4804,2667.19999999998,9/14/2023
3625,3625,2678.39999999998,2/5/2024
3370,3370,2689.59999999998,3/10/2024
510,510,2700.79999999998,3/2/2023
379,379,2711.99999999998,1/24/2023
1668,1668,2723.19999999998,11/18/2023
4008,4008,2734.39999999998,5/5/2024
2550,2550,2745.59999999998,8/11/2023
2649,2649,2756.79999999998,1/26/2024
4757,4757,2767.99999999998,12/24/2023
2965,2965,2779.19999999998,4/3/2023
2998,2998,2790.39999999997,10/27/2022
3578,3578,2801.59999999997,4/6/2024
871,871,2812.79999999997,12/1/2022
4626,4626,2823.99999999997,5/18/2023
4918,4918,2835.19999999997,4/25/2023
693,693,2846.39999999997,8/4/2023
298,298,2857.59999999997,9/24/2023
1429,1429,2868.79999999997,6/13/2023
831,831,2879.99999999997,1/1/2023
2996,2996,2891.19999999997,10/5/2023
3297,3297,2902.39999999997,12/3/2022
863,863,2913.59999999997,5/27/2023
2533,2533,2924.79999999997,5/31/2024
282,282,2935.99999999997,5/6/2024
289,289,2947.19999999997,8/19/2022
2358,2358,2958.39999999997,2/14/2023
4793,4793,2969.59999999997,10/14/2023
1398,1398,2980.79999999997,8/12/2022
3604,3604,2991.99999999997,2/23/2024
2794,2794,3003.19999999997,11/4/2022
22,22,3014.39999999997,8/1/2023
1507,1507,3025.59999999997,5/14/2023
426,426,3036.79999999997,6/11/2023
1039,1039,3047.99999999997,7/8/2024
2804,2804,3059.19999999997,11/8/2023
4586,4586,3070.39999999997,10/21/2022
1952,1952,3081.59999999997,1/8/2024
600,600,3092.79999999997,8/31/2022
1054,1054,3103.99999999997,10/3/2023
4905,4905,3115.19999999997,5/30/2023
3631,3631,3126.39999999997,8/23/2022
2361,2361,3137.59999999997,7/15/2024
1563,1563,3148.79999999997,3/14/2023
3680,3680,3159.99999999997,10/1/2023
2072,2072,3171.19999999997,7/31/2024
2200,2200,3182.39999999997,7/18/2024
1530,1530,3193.59999999997,4/12/2024
698,698,3204.79999999997,7/22/2024
544,544,3215.99999999997,3/8/2023
4989,4989,3227.19999999997,9/21/2023
313,313,3238.39999999997,8/5/2022
3608,3608,3249.59999999997,2/4/2023
585,585,3260.79999999997,3/14/2024
329,329,3271.99999999997,9/6/2022
3255,3255,3283.19999999997,11/9/2022
4033,4033,3294.39999999997,11/10/2023
1998,1998,3305.59999999997,7/3/2024
1348,1348,3316.79999999997,12/20/2023
3409,3409,3327.99999999997,7/5/2023
3690,3690,3339.19999999997,1/28/2024
