trend_id,house_id,date_recorded,price,trend_description
145,14,2023-03-15,434769.25,lower than 6 months ago by $27976.84 (6.05%)
146,642,2023-03-16,188143.11,higher than 6 months ago by $37653.14 (25.02%)
147,426,2023-03-16,517889.63,same than last quarter
148,721,2023-03-16,833294.98,higher than 3 months ago by $45241.6 (5.74%)
149,553,2023-03-16,103619.29,higher than last year by $15066.3 (17.01%)
150,23,2023-03-16,407673.76,same than a year ago
151,377,2023-03-16,478417.8,same than last month
152,284,2023-03-16,978287.13,lower than last year by $36179.36 (3.57%)
153,790,2023-03-16,846202.62,same than 6 months ago
154,658,2023-03-16,380513.16,same than 3 months ago
155,168,2023-03-16,423052.54,higher than last year by $40753.35 (10.66%)
156,716,2023-03-17,343384.08,higher than last month by $32824.07 (10.57%)
157,961,2023-03-17,790158.45,higher than last year by $20309.85 (2.64%)
158,978,2023-03-17,179819.25,higher than last quarter by $43490.43 (31.9%)
159,352,2023-03-17,601740.7,lower than last quarter by $44304.2 (6.86%)
160,845,2023-03-17,766933.95,higher than a year ago by $26158.9 (3.53%)
161,720,2023-03-17,341368.89,lower than last year by $37096.54 (9.8%)
162,980,2023-03-17,437001.89,higher than last year by $32544.93 (8.05%)
163,291,2023-03-17,820476.4,same than last quarter
164,769,2023-03-17,211938.54,same than 6 months ago
165,15,2023-03-17,697367.88,higher than a year ago by $35728.73 (5.4%)
166,658,2023-03-18,489849.66,higher than 6 months ago by $24256.18 (5.21%)
167,314,2023-03-18,201143.03,higher than last year by $19555.07 (10.77%)
168,416,2023-03-18,386810.27,higher than a year ago by $14482.6 (3.89%)
169,374,2023-03-18,439816.31,same than last month
170,588,2023-03-18,578122.72,same than 2 months ago
171,438,2023-03-18,433560.72,same than last year
172,885,2023-03-18,183910.61,higher than 3 months ago by $36098.95 (24.42%)
173,99,2023-03-18,948068.29,higher than last quarter by $11287.88 (1.2%)
174,558,2023-03-18,811576.0,higher than last month by $12280.74 (1.54%)
175,57,2023-03-19,563680.61,lower than 2 months ago by $26089.03 (4.42%)
176,439,2023-03-19,636894.9,lower than 6 months ago by $29417.5 (4.41%)
177,253,2023-03-19,966760.14,lower than 3 months ago by $32705.08 (3.27%)
178,381,2023-03-19,417607.72,higher than last quarter by $47460.07 (12.82%)
179,594,2023-03-19,958227.06,lower than last month by $27526.02 (2.79%)
180,212,2023-03-19,351363.11,lower than 2 months ago by $20707.11 (5.57%)
181,597,2023-03-19,634144.46,lower than 6 months ago by $30308.69 (4.56%)
182,185,2023-03-19,249479.98,lower than last year by $9222.94 (3.57%)
183,570,2023-03-19,764783.64,same than 3 months ago
184,207,2023-03-19,990104.82,same than 6 months ago
185,421,2023-03-20,794532.15,same than last quarter
186,770,2023-03-20,712146.2,lower than 6 months ago by $32274.75 (4.34%)
187,333,2023-03-20,657024.8,same than 6 months ago
188,550,2023-03-20,102238.45,lower than 3 months ago by $49006.54 (32.4%)
189,411,2023-03-20,669421.28,same than 3 months ago
190,606,2023-03-20,430120.22,same than a year ago
191,66,2023-03-20,257665.55,same than a year ago
192,368,2023-03-20,524906.74,higher than 2 months ago by $42499.51 (8.81%)
193,802,2023-03-20,363944.92,lower than 2 months ago by $14956.05 (3.95%)
194,708,2023-03-20,449270.13,higher than 3 months ago by $45878.0 (11.37%)
195,200,2023-03-21,946396.31,higher than 2 months ago by $43561.88 (4.83%)
196,37,2023-03-21,487585.24,higher than last quarter by $29981.35 (6.55%)
197,22,2023-03-21,351756.18,higher than last quarter by $21308.62 (6.45%)
198,462,2023-03-21,357782.11,lower than a year ago by $48999.97 (12.05%)
199,675,2023-03-21,729674.42,lower than last quarter by $37434.67 (4.88%)
200,992,2023-03-21,266347.83,lower than a year ago by $6345.99 (2.33%)
201,838,2023-03-21,411785.58,same than last year
202,258,2023-03-21,380392.54,same than last year
203,94,2023-03-21,562500.99,higher than last quarter by $49737.62 (9.7%)
204,555,2023-03-22,408450.07,higher than last year by $42623.39 (11.65%)
205,263,2023-03-22,869792.07,higher than last year by $25227.65 (2.99%)
206,529,2023-03-22,335401.23,same than 6 months ago
207,443,2023-03-22,597247.59,same than last year
208,632,2023-03-22,119468.19,higher than 6 months ago by $5871.72 (5.17%)
209,986,2023-03-22,594866.67,same than 3 months ago
210,580,2023-03-22,113045.77,same than 3 months ago
211,99,2023-03-22,806408.64,same than last year
212,471,2023-03-22,180773.17,same than 2 months ago
213,776,2023-03-22,172875.85,lower than 3 months ago by $49259.37 (22.18%)
214,781,2023-03-23,517743.8,same than last quarter
215,742,2023-03-23,542968.23,lower than last month by $42767.01 (7.3%)
216,702,2023-03-23,334466.49,same than last quarter
217,626,2023-03-23,134193.71,lower than 2 months ago by $49896.03 (27.1%)
218,266,2023-03-23,665835.04,higher than 3 months ago by $39393.95 (6.29%)
219,638,2023-03-23,673374.05,higher than 6 months ago by $46255.98 (7.38%)
220,878,2023-03-23,923192.07,same than 2 months ago
221,312,2023-03-23,443385.55,lower than last month by $43267.09 (8.89%)
222,277,2023-03-23,140378.85,lower than last quarter by $6786.03 (4.61%)
223,570,2023-03-24,553325.16,higher than last year by $40956.89 (7.99%)
224,932,2023-03-24,521259.27,lower than 3 months ago by $10295.37 (1.94%)
225,299,2023-03-24,810961.59,lower than last month by $12060.91 (1.47%)
226,492,2023-03-24,821631.6,same than 3 months ago
227,731,2023-03-24,929977.97,same than last year
228,474,2023-03-24,235881.36,higher than last quarter by $11781.23 (5.26%)
229,656,2023-03-24,951554.25,higher than a year ago by $9945.51 (1.06%)
230,604,2023-03-24,409842.83,lower than 2 months ago by $5886.19 (1.42%)
231,471,2023-03-24,795117.74,same than 2 months ago
232,916,2023-03-24,355865.94,higher than last year by $41811.6 (13.31%)
233,101,2023-03-25,851418.4,same than 2 months ago
234,877,2023-03-25,165989.22,lower than last month by $42985.36 (20.57%)
235,802,2023-03-25,418585.72,same than 6 months ago
236,55,2023-03-25,712024.68,same than last year
237,193,2023-03-25,284677.05,same than last month
238,234,2023-03-25,419666.56,same than last month
239,295,2023-03-25,582005.2,same than 2 months ago
240,501,2023-03-25,559302.91,higher than 6 months ago by $13589.52 (2.49%)
241,203,2023-03-25,621790.06,higher than 2 months ago by $10667.55 (1.75%)
242,527,2023-03-25,975849.17,higher than 6 months ago by $27629.38 (2.91%)
243,146,2023-03-26,233992.72,lower than a year ago by $30237.98 (11.44%)
244,124,2023-03-26,390456.94,lower than last year by $39325.02 (9.15%)
245,1000,2023-03-26,465473.72,same than 6 months ago
246,159,2023-03-26,585969.33,same than 2 months ago
247,549,2023-03-26,117689.75,higher than 6 months ago by $17108.24 (17.01%)
248,719,2023-03-26,276625.88,higher than last month by $8569.33 (3.2%)
249,219,2023-03-26,173713.02,lower than last year by $8833.18 (4.84%)
250,848,2023-03-26,178251.56,higher than last year by $21155.89 (13.47%)
251,787,2023-03-26,212848.8,lower than 2 months ago by $17094.74 (7.43%)
252,560,2023-03-27,744347.96,same than last year
253,611,2023-03-27,733382.28,same than 3 months ago
254,254,2023-03-27,587637.71,higher than 3 months ago by $27766.13 (4.96%)
255,173,2023-03-27,815266.77,same than last year
256,204,2023-03-27,437019.96,same than 2 months ago
257,834,2023-03-27,304028.23,lower than 6 months ago by $36468.16 (10.71%)
258,547,2023-03-27,750839.8,higher than 6 months ago by $36179.85 (5.06%)
259,261,2023-03-27,150840.15,same than last month
260,87,2023-03-27,535649.42,lower than 2 months ago by $40839.0 (7.08%)
261,502,2023-03-27,668375.66,lower than a year ago by $6782.13 (1.0%)
262,934,2023-03-28,978493.56,same than last quarter
263,354,2023-03-28,478848.75,lower than a year ago by $46421.41 (8.84%)
264,220,2023-03-28,985176.12,lower than last quarter by $37455.4 (3.66%)
265,285,2023-03-28,319761.84,lower than last quarter by $12618.56 (3.8%)
266,782,2023-03-28,551359.23,lower than last year by $48337.0 (8.06%)
267,42,2023-03-28,166295.87,lower than 6 months ago by $16570.54 (9.06%)
268,763,2023-03-28,105605.34,same than 2 months ago
269,526,2023-03-28,583369.42,higher than 2 months ago by $10761.97 (1.88%)
270,584,2023-03-28,948423.38,higher than 3 months ago by $36456.98 (4.0%)
271,164,2023-03-28,696808.98,higher than 2 months ago by $19304.52 (2.85%)
272,146,2023-03-29,177939.25,same than 2 months ago
273,49,2023-03-29,286724.48,lower than 6 months ago by $35626.87 (11.05%)
274,996,2023-03-29,670346.1,lower than a year ago by $8258.8 (1.22%)
275,137,2023-03-29,526202.35,same than 2 months ago
276,283,2023-03-29,609233.29,same than a year ago
277,108,2023-03-29,349012.75,lower than last year by $44623.17 (11.34%)
278,163,2023-03-29,938720.7,lower than 3 months ago by $37541.6 (3.85%)
279,889,2023-03-29,884943.45,same than 6 months ago
280,44,2023-03-29,158416.69,same than last quarter
281,404,2023-03-30,687708.23,lower than last quarter by $14192.69 (2.02%)
282,663,2023-03-30,876761.14,higher than last month by $15949.3 (1.85%)
283,4,2023-03-30,152698.63,lower than last month by $27012.55 (15.03%)
284,948,2023-03-30,298489.35,higher than last month by $33731.99 (12.74%)
285,69,2023-03-30,528567.45,lower than last month by $45702.89 (7.96%)
286,16,2023-03-30,356054.76,higher than a year ago by $49774.58 (16.25%)
287,725,2023-03-30,796948.41,same than 3 months ago
288,950,2023-03-30,568135.59,same than 2 months ago
289,49,2023-03-30,480244.81,higher than last month by $33954.84 (7.61%)
290,26,2023-03-30,515241.86,higher than 3 months ago by $30844.67 (6.37%)
291,451,2023-03-31,132317.13,higher than 6 months ago by $6923.49 (5.52%)
292,279,2023-03-31,989343.65,same than last year
293,849,2023-03-31,841727.12,same than a year ago
294,547,2023-03-31,311407.17,higher than 2 months ago by $28624.02 (10.12%)
295,155,2023-03-31,620579.49,higher than last month by $5733.09 (0.93%)
296,631,2023-03-31,369751.57,lower than 6 months ago by $18775.64 (4.83%)
297,506,2023-03-31,363517.2,lower than 6 months ago by $24835.52 (6.4%)
298,471,2023-03-31,775949.71,same than 3 months ago
299,466,2023-03-31,594966.48,same than 3 months ago
300,233,2023-03-31,918907.11,same than 3 months ago
301,616,2023-04-01,678987.01,same than 2 months ago
302,758,2023-04-01,730160.44,lower than last month by $12345.03 (1.66%)
303,570,2023-04-01,547637.9,higher than last quarter by $32569.22 (6.32%)
304,968,2023-04-01,242211.4,same than 2 months ago
305,416,2023-04-01,962682.18,lower than 2 months ago by $34966.93 (3.5%)
306,103,2023-04-01,162407.81,same than last year
307,675,2023-04-01,181051.71,lower than 6 months ago by $30843.22 (14.56%)
308,816,2023-04-01,755065.04,higher than 2 months ago by $24906.98 (3.41%)
309,209,2023-04-01,547637.83,higher than 6 months ago by $10541.79 (1.96%)
310,283,2023-04-02,547999.7,same than last year
311,488,2023-04-02,679515.04,higher than last year by $46758.51 (7.39%)
312,416,2023-04-02,593816.77,lower than last year by $40862.47 (6.44%)
313,537,2023-04-02,189597.88,same than a year ago
314,601,2023-04-02,310594.45,lower than 3 months ago by $46742.66 (13.08%)
315,227,2023-04-02,810265.9,same than last month
316,596,2023-04-02,415084.39,higher than 6 months ago by $38996.46 (10.37%)
317,977,2023-04-02,341367.66,higher than last quarter by $15088.72 (4.62%)
318,49,2023-04-02,823723.84,lower than 2 months ago by $20264.96 (2.4%)
319,289,2023-04-02,617497.17,lower than a year ago by $14747.3 (2.33%)
320,768,2023-04-03,551789.48,same than last month
321,883,2023-04-03,156364.45,higher than last year by $39120.85 (33.37%)
322,900,2023-04-03,205228.29,higher than last month by $46758.67 (29.51%)
323,772,2023-04-03,180088.48,same than last month
324,640,2023-04-03,903229.39,same than a year ago
325,563,2023-04-03,113741.21,lower than last year by $26975.99 (19.17%)
326,177,2023-04-03,952634.2,lower than last month by $11549.28 (1.2%)
327,654,2023-04-03,262001.81,lower than 6 months ago by $46040.55 (14.95%)
328,816,2023-04-03,871172.03,higher than 6 months ago by $28669.76 (3.4%)
329,943,2023-04-03,630142.2,higher than 6 months ago by $17670.05 (2.89%)
330,6,2023-04-04,788290.09,same than 2 months ago
331,564,2023-04-04,376229.85,lower than a year ago by $41660.59 (9.97%)
332,857,2023-04-04,731338.94,same than 2 months ago
333,723,2023-04-04,748768.14,lower than 3 months ago by $43664.12 (5.51%)
334,394,2023-04-04,654505.66,lower than 6 months ago by $8158.47 (1.23%)
335,406,2023-04-04,708690.15,same than last month
336,846,2023-04-04,417500.49,same than a year ago
337,656,2023-04-04,603614.11,higher than 3 months ago by $36181.14 (6.38%)
338,778,2023-04-04,510295.7,same than 2 months ago
339,275,2023-04-05,856052.27,higher than 2 months ago by $29860.66 (3.61%)
340,162,2023-04-05,486110.21,higher than last year by $48679.6 (11.13%)
341,560,2023-04-05,794072.29,higher than 6 months ago by $45929.68 (6.14%)
342,368,2023-04-05,797088.22,higher than 3 months ago by $29717.86 (3.87%)
343,809,2023-04-05,659364.42,lower than a year ago by $26484.63 (3.86%)
344,259,2023-04-05,273432.84,lower than last month by $18210.29 (6.24%)
345,441,2023-04-05,491380.8,higher than 6 months ago by $19478.82 (4.13%)
346,879,2023-04-05,792875.33,higher than 2 months ago by $21812.62 (2.83%)
347,24,2023-04-05,264700.57,higher than last quarter by $35416.1 (15.45%)
348,310,2023-04-05,548299.9,higher than last quarter by $47340.12 (9.45%)
349,75,2023-04-06,688718.14,same than last quarter
350,436,2023-04-06,545249.78,same than 6 months ago
351,655,2023-04-06,733078.05,same than 2 months ago
352,957,2023-04-06,638017.11,lower than last month by $44136.08 (6.47%)
353,14,2023-04-06,577721.79,lower than 6 months ago by $22995.54 (3.83%)
354,720,2023-04-06,206235.99,same than 2 months ago
355,359,2023-04-06,121095.95,lower than 3 months ago by $9866.86 (7.53%)
356,633,2023-04-06,727365.34,lower than 6 months ago by $26938.42 (3.57%)
357,913,2023-04-06,456574.4,lower than last month by $10726.11 (2.3%)
358,426,2023-04-06,550494.07,higher than 3 months ago by $43958.44 (8.68%)
359,567,2023-04-07,546180.98,higher than a year ago by $5518.3 (1.02%)
360,865,2023-04-07,267022.08,higher than a year ago by $20333.24 (8.24%)
361,864,2023-04-07,571321.45,lower than a year ago by $5917.52 (1.03%)
362,357,2023-04-07,607107.09,higher than a year ago by $47862.7 (8.56%)
363,496,2023-04-07,351275.68,higher than 6 months ago by $14647.08 (4.35%)
364,8,2023-04-07,954523.09,lower than last month by $5766.97 (0.6%)
365,497,2023-04-07,791695.55,higher than last quarter by $9966.36 (1.27%)
366,170,2023-04-07,153833.57,same than 2 months ago
367,183,2023-04-07,273150.79,same than last quarter
368,299,2023-04-08,231676.99,lower than last year by $13409.57 (5.47%)
369,244,2023-04-08,903650.49,lower than last year by $46774.99 (4.92%)
370,857,2023-04-08,247551.68,lower than last quarter by $40764.29 (14.14%)
371,336,2023-04-08,651417.84,higher than 3 months ago by $21582.55 (3.43%)
372,175,2023-04-08,910176.68,same than last year
373,636,2023-04-08,426106.64,higher than last quarter by $20016.23 (4.93%)
374,247,2023-04-08,457117.01,lower than last year by $13986.83 (2.97%)
375,243,2023-04-08,186790.49,lower than 6 months ago by $27299.61 (12.75%)
376,337,2023-04-08,208095.4,higher than last year by $49458.36 (31.18%)
377,39,2023-04-08,155531.92,same than 3 months ago
378,478,2023-04-09,513871.63,lower than last month by $33566.39 (6.13%)
379,740,2023-04-09,541352.01,lower than last month by $47630.97 (8.09%)
380,841,2023-04-09,789959.08,higher than a year ago by $32770.02 (4.33%)
381,420,2023-04-09,299464.23,higher than a year ago by $32023.32 (11.97%)
382,418,2023-04-09,205498.32,lower than a year ago by $5765.89 (2.73%)
383,210,2023-04-09,613123.47,higher than last quarter by $45468.75 (8.01%)
384,574,2023-04-09,261566.47,higher than 2 months ago by $26470.35 (11.26%)
385,168,2023-04-09,116339.9,lower than a year ago by $5266.09 (4.33%)
386,393,2023-04-09,856729.22,higher than 3 months ago by $18076.54 (2.16%)
387,776,2023-04-09,778028.03,same than 6 months ago
388,796,2023-04-10,840632.7,lower than last year by $18902.61 (2.2%)
389,897,2023-04-10,419142.92,lower than a year ago by $20408.02 (4.64%)
390,593,2023-04-10,917722.21,lower than last year by $9960.72 (1.07%)
391,162,2023-04-10,553872.49,same than a year ago
392,997,2023-04-10,319622.36,same than last year
393,998,2023-04-10,360646.57,lower than last month by $36938.26 (9.29%)
394,85,2023-04-10,742667.93,higher than 3 months ago by $17492.42 (2.41%)
395,856,2023-04-10,816535.09,higher than last year by $48195.68 (6.27%)
396,399,2023-04-10,514273.82,higher than 3 months ago by $21380.68 (4.34%)
397,81,2023-04-11,532522.51,lower than a year ago by $24889.61 (4.47%)
398,37,2023-04-11,960949.96,same than 6 months ago
399,128,2023-04-11,138412.89,same than last quarter
400,956,2023-04-11,284908.42,higher than a year ago by $42826.33 (17.69%)
401,733,2023-04-11,634400.01,higher than last year by $6148.19 (0.98%)
402,62,2023-04-11,404400.7,same than a year ago
403,674,2023-04-11,394182.18,lower than 3 months ago by $43256.8 (9.89%)
404,577,2023-04-11,351345.65,lower than 2 months ago by $8301.04 (2.31%)
405,134,2023-04-11,879233.67,higher than last year by $5670.96 (0.65%)
406,522,2023-04-11,952059.23,same than last quarter
407,132,2023-04-12,732040.92,higher than 6 months ago by $47969.17 (7.01%)
408,866,2023-04-12,902234.45,lower than last year by $19041.72 (2.07%)
409,609,2023-04-12,165689.64,higher than last quarter by $37219.69 (28.97%)
410,318,2023-04-12,950640.56,same than 2 months ago
411,770,2023-04-12,217737.27,same than last year
412,460,2023-04-12,103603.53,same than 3 months ago
413,105,2023-04-12,362223.84,lower than 6 months ago by $24589.46 (6.36%)
414,301,2023-04-12,681574.75,same than 2 months ago
415,671,2023-04-12,287579.14,lower than 6 months ago by $33768.97 (10.51%)
416,172,2023-04-13,192647.38,higher than last month by $16214.67 (9.19%)
417,478,2023-04-13,979631.87,higher than 2 months ago by $6672.81 (0.69%)
418,749,2023-04-13,577891.43,same than a year ago
419,268,2023-04-13,578283.54,higher than last year by $25174.25 (4.55%)
420,812,2023-04-13,169943.26,higher than last quarter by $43899.06 (34.83%)
421,420,2023-04-13,663778.62,higher than 3 months ago by $18998.52 (2.95%)
422,591,2023-04-13,796301.73,higher than a year ago by $11402.63 (1.45%)
423,762,2023-04-13,955958.09,higher than last quarter by $44123.08 (4.84%)
424,874,2023-04-13,733342.17,higher than last year by $14458.98 (2.01%)
425,923,2023-04-13,665578.22,same than last quarter
426,188,2023-04-14,136963.45,lower than last year by $29150.8 (17.55%)
427,545,2023-04-14,702549.41,lower than last month by $40145.56 (5.41%)
428,185,2023-04-14,816623.55,same than 2 months ago
